manufactor,Year,model,Hand,Gear,Engine_capacity,Engine_type,Prev_ownership,Curr_ownership,Area,City,Price,Pic_num,Cre_date,Repub_date,Description,Color,Km,Test
אופל,2012,קורסה,1,ידנית,1400,בנזין,,,פרדס חנה - כרכור,קציר,13000.0,0,2022-08-09,2022-08-09,"רכב שני במשפחה במצב מעולה, ללא תאונות . מטופל במוסך אופל בחיפה. נמכר עקב רילוקישן.",,175000,
אופל,2017,אינסיגניה,2,אוטומטית,1600,בנזין,,,פתח תקוה והסביבה,פתח תקווה,66500.0,0,2022-08-14,2022-08-14,"רכב מנהלים, 170 כ""ס מנוע טורבו, יד שנייה פרטי לא ליסינג. שמור מבפנים ומבחוץ. תא מטען ענק (530 ליטר). צמיגים, מצבר וברקסים חדשים. קילומטראז נמוך.",,80000,
אופל,2017,מוקה,2,אוטומטית,1400,בנזין,,,חולון - בת ים,חולון,65000.0,0,2022-12-08,2022-12-08,רכב במצב שמור ללא תאונות נוסע מעולה,,118000,
אופל,2015,מוקה X,2,אוטומטית,1400,בנזין,,,חיפה וחוף הכרמל,טירת כרמל,50000.0,0,2022-08-08,2022-08-08,"ג'יפון צבע שחור, ריפודי עור צבע שמנת,חלונות כהים מאחור, מסך 10 אינ'צ למוזיקה יוטיוב מחשב ועוד, מצלמת רוורס, וו גרירה, וכול הטוספות.",,76000,
אופל,2014,קורסה,2,אוטומטית,1600,בנזין,,,גדרה יבנה והסביבה,כפר אביב,20000.0,0,2022-07-08,2022-07-08,אופל קורסה שנת 2014 שמורה טסט לשנה נמכרת עקב קבלת רכב,,120000,
אופל,2015,אינסיגניה,1,טיפטרוניק,2000,בנזין,,,רמת השרון - הרצליה,הרצליה,40000.0,0,2022-07-27,2022-07-27,רכב שמור מאוד,,,
אופל,2014,אסטרה,1,אוטומטית,1400,בנזין,,,אשדוד - אשקלון,אשקלון,34000.0,0,2022-07-21,2022-07-21,"נהג יחיד מוחזק מצויין &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מולטי מדיה 10"" טלוויזיה",,122000,
אופל,2013,אסטרה,2,אוטומטית,1400,בנזין,,,חולון - בת ים,אזור,28000.0,0,2022-07-21,2022-07-21,"יד ראשונה ליסינג, טסט עד 26/10/2022",,184000,
אופל,2015,מריבה,3,טיפטרוניק,1400,בנזין,,,באר שבע והסביבה,באר שבע,26000.0,0,2022-07-16,2022-07-16,,,128000,
אופל,2014,אסטרה,2,אוטומטית,1600,בנזין,השכרה,פרטית,אשדוד - אשקלון,גן יבנה,23900.0,0,2021-11-15,2021-11-15,רכב מעולה.מומלץ ביותר.בגז' ענק.מהיר ואמין.,אפור מטאלי,162000,
